game_index,game_id,experiment,n_games,n_player_games,player_type,elo,se_elo,log_worth,se_log_worth
3,1d38716a-92b7-41a3-b6b5-15cd94a74f8d,2026-oss-v-sonnet-standard,3,1,GLM-4.7-Simple,1977.35076753641,180.34888514138134,2.74785190364651,1.0381716361616
3,1d38716a-92b7-41a3-b6b5-15cd94a74f8d,2026-oss-v-sonnet-standard,3,3,Sonnet-4.5-Briefed,1606.5469239776876,90.54551203042081,0.613333397138484,0.5212218655969
3,1d38716a-92b7-41a3-b6b5-15cd94a74f8d,2026-oss-v-sonnet-standard,3,1,GLM-4.7-Briefed,1592.1762608816018,150.5199049723579,0.530609210584769,0.866462223470579
3,1d38716a-92b7-41a3-b6b5-15cd94a74f8d,2026-oss-v-sonnet-standard,3,3,Sonnet-4.5-Simple,1584.7926622233354,89.42778847150318,0.488105800076827,0.51478773158477
3,1d38716a-92b7-41a3-b6b5-15cd94a74f8d,2026-oss-v-sonnet-standard,3,3,Vanilla,1500.0,55.92021397677248,0.0,0.321902627749884
3,1d38716a-92b7-41a3-b6b5-15cd94a74f8d,2026-oss-v-sonnet-standard,3,3,GPT-OSS-120B-Simple,1314.6353892548188,95.37016481555337,-1.06704447367624,0.548994799551696
3,1d38716a-92b7-41a3-b6b5-15cd94a74f8d,2026-oss-v-sonnet-standard,3,3,GPT-OSS-120B-Briefed,1139.0438461044268,114.8830081303081,-2.07783064796103,0.661319754897903
4,0123e256-4108-4e1c-b43c-94e3d6e0d939,2026-oss-v-sonnet-standard,4,1,GLM-4.7-Simple,1949.8742800031132,185.23472548038896,2.5896845271415,1.06629679398997
4,0123e256-4108-4e1c-b43c-94e3d6e0d939,2026-oss-v-sonnet-standard,4,4,Sonnet-4.5-Simple,1656.6246793516536,85.53426572039034,0.901604129675226,0.492374812969906
4,0123e256-4108-4e1c-b43c-94e3d6e0d939,2026-oss-v-sonnet-standard,4,1,GLM-4.7-Briefed,1612.8262524006243,152.18266078757685,0.649480117190153,0.87603381535411
4,0123e256-4108-4e1c-b43c-94e3d6e0d939,2026-oss-v-sonnet-standard,4,4,Sonnet-4.5-Briefed,1523.876248126943,84.43654948938574,0.137442732534311,0.486055850395284
4,0123e256-4108-4e1c-b43c-94e3d6e0d939,2026-oss-v-sonnet-standard,4,4,Vanilla,1500.0,48.321380551741335,0.0,0.27816022632833
